Sezione;Si;No;Bianche;Contestate;Nulle
265;43;186;0;0;11
266;186;349;0;0;6
267;201;442;0;0;3
268;96;244;0;0;3
269;71;204;0;0;1
270;206;428;1;0;3
271;65;206;0;0;1
272;171;458;2;0;6
273;143;411;1;0;1
274;88;232;0;0;0
275;277;426;1;0;4
276;151;219;1;0;2
277;168;344;1;0;4
278;231;427;1;0;2
279;224;505;1;0;1
280;87;229;0;0;1
281;102;321;1;0;5
282;105;254;1;0;0
283;224;304;2;0;1
284;110;323;1;0;1
285;97;279;0;0;7
286;133;290;0;0;5
287;83;233;1;0;3
288;185;450;0;0;1
289;259;602;1;0;1
290;217;370;1;0;2
291;84;327;1;0;3
292;225;317;2;0;1
293;170;380;1;0;3
294;208;447;1;0;6
295;197;449;1;0;0
296;183;407;0;0;5
297;166;541;2;0;1
298;55;194;0;0;5
299;56;195;0;0;1
300;289;420;0;0;8
301;141;376;1;0;2
302;124;223;0;0;2
303;137;354;1;0;4
304;213;398;0;0;2
305;187;344;0;0;1
306;191;319;3;0;5
307;156;508;0;0;2
308;121;280;1;0;2
309;84;496;0;0;2
310;21;96;1;0;0
311;161;500;2;0;2
312;243;441;0;0;1
313;62;135;0;0;0
314;188;301;2;0;4
315;116;296;0;0;6
316;138;510;0;0;4
317;147;381;0;0;0
318;186;204;0;0;2
319;67;229;0;0;2
320;166;278;0;0;3
321;85;398;0;0;8
322;131;310;1;0;2
323;152;439;0;0;1
324;198;364;0;0;4
325;189;449;1;0;4
326;229;405;0;0;3
327;144;358;1;0;2
328;36;145;0;0;3
329;227;321;0;0;6
330;191;359;2;0;1
331;164;500;0;0;7
332;182;463;1;0;2
333;243;339;0;0;3
334;93;352;0;0;1
335;194;439;1;0;1
336;219;581;0;0;1
337;146;385;1;0;4
338;184;371;1;0;4
339;222;358;2;0;1
340;113;344;0;0;1
341;273;415;0;0;3
342;114;277;0;0;2
343;306;407;3;0;0
344;215;343;2;0;2
345;87;327;0;0;4
